UncompMagX;UncompMagY;UncompMagZ;UncompAccX;UncompAccY;UncompAccZ;UncompGyroX;UncompGyroY;UncompGyroZ;Temperature;Pressure
-00,134;+00,175;-00,143;-03,2910;-00,3950;-08,5390;+00,178159;-00,490109;-00,069025;+031,90;+101,17
-00,136;+00,176;-00,144;-03,6620;-00,5810;-08,8140;+00,198924;-00,508315;-00,067873;+031,90;+101,17
-00,135;+00,176;-00,140;-03,9140;-00,6160;-08,9410;+00,185999;-00,472392;-00,060377;+031,90;+101,16
-00,134;+00,177;-00,141;-03,9890;-00,5790;-09,0160;+00,169704;-00,450246;-00,057489;+031,90;+101,17
-00,134;+00,174;-00,141;-03,8890;-00,6480;-09,1380;+00,123234;-00,474225;-00,043058;+031,90;+101,17
-00,135;+00,176;-00,142;-03,9490;-00,4850;-09,0360;+00,094959;-00,524229;-00,013834;+031,90;+101,16
-00,135;+00,173;-00,139;-03,8930;-00,6390;-08,9220;+00,053054;-00,584552;+00,011518;+031,90;+101,16
-00,135;+00,175;-00,141;-03,8560;-00,6080;-08,8220;+00,015298;-00,666867;+00,036071;+031,90;+101,17
-00,135;+00,175;-00,136;-04,3180;-00,4900;-08,9780;-00,020332;-00,750062;+00,058853;+031,90;+101,17
-00,135;+00,176;-00,139;-04,2070;-00,4470;-08,8000;-00,114638;-00,805438;+00,084776;+031,90;+101,17
-00,136;+00,174;-00,136;-04,1730;-00,0330;-08,6300;-00,178290;-00,923310;+00,051611;+031,90;+101,17
-00,137;+00,176;-00,134;-04,0090;-00,3690;-08,4600;-00,464408;-01,074637;-00,010898;+031,90;+101,17
-00,136;+00,174;-00,130;-04,4080;-00,5310;-08,5890;-00,611539;-01,170056;-00,007319;+031,90;+101,16
-00,138;+00,176;-00,128;-05,4240;-00,0950;-08,6490;-00,521371;-01,212295;+00,013744;+031,90;+101,16
-00,139;+00,176;-00,122;-04,8270;-00,8230;-08,4970;-00,779485;-01,116988;-00,052352;+031,90;+101,17
-00,138;+00,177;-00,122;-03,9590;-00,8890;-09,0630;-00,573769;-01,344832;+00,042497;+031,90;+101,17
-00,137;+00,175;-00,117;-04,7910;-00,9150;-08,4340;-00,638808;-02,176232;+00,158302;+031,90;+101,17
-00,138;+00,178;-00,114;-03,5300;-01,4510;-08,7130;-00,764033;-02,676527;+00,336682;+031,90;+101,16
-00,137;+00,178;-00,106;-02,6760;-01,2900;-09,8780;-01,484635;-03,521508;+00,625884;+031,90;+101,17
-00,137;+00,180;-00,096;-04,8990;-01,5310;-11,0240;-01,855502;-04,583810;+00,757605;+031,90;+101,17
-00,135;+00,180;-00,084;-04,2060;+00,2480;-11,2180;-02,471133;-05,485308;+00,962077;+031,90;+101,17
-00,132;+00,182;-00,073;-06,3620;+00,2230;-15,0240;-03,420951;-06,809394;+00,935115;+031,90;+101,16
-00,127;+00,180;-00,052;-07,2140;+04,3650;-24,2670;-03,542029;-07,655356;+00,781273;+031,90;+101,16
-00,123;+00,183;-00,038;-11,2000;-01,2670;-33,4590;-02,467607;-06,745097;+00,177722;+031,90;+101,17
-00,118;+00,179;-00,022;-15,7390;-07,1560;-24,6620;-02,099519;-06,723678;+00,226483;+031,90;+101,17
-00,113;+00,180;-00,013;-03,0640;-08,1850;-22,7550;-02,669199;-05,435306;+01,294885;+031,90;+101,16
-00,105;+00,178;+00,004;-01,1360;-02,6970;-18,0390;-01,915053;-05,206118;+01,856808;+031,90;+101,17
-00,098;+00,179;+00,010;-32,4090;+08,2170;-33,4730;-02,291506;-03,593909;+00,534068;+031,90;+101,19
-00,093;+00,176;+00,020;-06,4960;+01,2990;-27,8340;-00,968117;-02,151796;-00,217108;+031,90;+101,19
-00,092;+00,176;+00,021;-02,1920;-00,4230;-17,4070;-00,125941;-01,618342;+00,004228;+031,90;+101,18
-00,088;+00,175;+00,025;-01,6330;-01,2660;-11,2570;-00,251861;-01,517232;+00,204134;+031,90;+101,19
-00,087;+00,177;+00,026;-02,1500;-01,8560;-11,1310;-00,573095;-01,600215;+00,412406;+031,90;+101,17
-00,083;+00,174;+00,028;-03,4280;-00,6040;-14,4370;-00,722865;-01,307389;+00,440191;+031,90;+101,19
-00,082;+00,178;+00,030;-04,0100;+00,5100;-15,8800;-00,599530;-00,811192;+00,517263;+031,90;+101,17
-00,078;+00,174;+00,033;-03,7960;+00,8150;-14,4950;-00,396894;-00,277809;+00,632426;+031,90;+101,17
-00,080;+00,176;+00,034;-03,0320;+00,0650;-11,4520;-00,230628;+00,110095;+00,725886;+031,90;+101,17
-00,077;+00,174;+00,035;-02,8570;-01,5110;-09,4570;-00,192370;+00,361223;+00,747444;+031,90;+101,17
-00,076;+00,177;+00,034;-03,5490;-02,8260;-09,1850;-00,180248;+00,604111;+00,627605;+031,90;+101,18
-00,076;+00,177;+00,034;-04,3030;-03,4150;-09,2230;-00,142283;+00,941941;+00,370686;+031,90;+101,17
-00,077;+00,178;+00,033;-04,2670;-03,2730;-08,5970;-00,076909;+01,321702;+00,096717;+031,90;+101,18
-00,080;+00,176;+00,035;-03,5440;-02,7180;-07,0420;-00,002228;+01,650425;-00,115315;+031,90;+101,19
-00,081;+00,178;+00,032;-03,1320;-01,6530;-05,8210;+00,135275;+01,864313;-00,250178;+031,90;+101,17
